memberId,firstName,lastName,email,avatar,lat,lon
1,Nathalie,Stone,nathalie.stone@hanaites.com,member57.png,47.9214,-0.676
2,Carmen,Akiyama,carmen.akiyama@hanaites.com,member57.png,44.9845,1.6372
3,Miguel,Komarov,miguel.komarov@hanaites.com,member57.png,36.35,140.3
4,Kenji,Patel,kenji.patel@hanaites.com,member57.png,45.3691,4.2049
5,Ravi,Wang,ravi.wang@hanaites.com,member57.png,22.35,114.0667
6,Roberta,Sakamo,roberta.sakamo@hanaites.com,member57.png,43.5,-0.1667
7,Xiaoming,Zhukov,xiaoming.zhukov@hanaites.com,member57.png,48.1148,1.4437
8,Donna,Semenov,donna.semenov@hanaites.com,member57.png,46.8,6.0167
9,Oleg,Suzuki,oleg.suzuki@hanaites.com,member57.png,48.0822,6.9294
10,Francesca,Moore,francesca.moore@hanaites.com,member57.png,51.4,12.2167
11,Michel,Schmidt,michel.schmidt@hanaites.com,member57.png,48.5538,2.2167
12,Takahiro,Bauer,takahiro.bauer@hanaites.com,member57.png,45.2863,1.9887
13,Cristina,Becker,cristina.becker@hanaites.com,member57.png,51.2833,0.1333
14,Donna,Leclerq,donna.leclerq@hanaites.com,member57.png,56,-3.4
15,Rahul,Toseland,rahul.toseland@hanaites.com,member57.png,53.3272,6.5301
16,Thomas,Stone,thomas.stone@hanaites.com,member57.png,51.8167,0.3333
17,Mikhail,Adams,mikhail.adams@hanaites.com,member57.png,48.1333,8.2167
18,Jose,Zhukov,jose.zhukov@hanaites.com,member57.png,38.7618,-91.6002
19,Aneesha,Mayer,aneesha.mayer@hanaites.com,member57.png,48.2289,-3.1815
20,Enzo,Ferrari,enzo.ferrari@hanaites.com,member57.png,49.3549,10.4833
21,Vladimir,Pandey,vladimir.pandey@hanaites.com,member57.png,53.55,11.2833
22,Vladimir,Smith,vladimir.smith@hanaites.com,member57.png,46.3667,-72.0167
23,Aiko,Wang,aiko.wang@hanaites.com,member57.png,49.43,9.2906
24,Lee,Rossi,lee.rossi@hanaites.com,member57.png,48.4352,-4.3972
25,Laurent,Gomez,laurent.gomez@hanaites.com,member57.png,48.9,10.4
26,Francesca,Moore,francesca.moore@hanaites.com,member57.png,51.4,12.2167
27,Miguel,Crutchlow,miguel.crutchlow@hanaites.com,member57.png,48.5667,13.7333
28,Marina,Zhao,marina.zhao@hanaites.com,member57.png,53.4833,11.0333
29,Gerd,Zhou,gerd.zhou@hanaites.com,member57.png,47.7667,9.6667
30,Ravi,Wang,ravi.wang@hanaites.com,member57.png,22.35,114.0667
31,Jose,Akiyama,jose.akiyama@hanaites.com,member57.png,45.4,-71.9
32,Matthew,Ferrari,matthew.ferrari@hanaites.com,member57.png,51.4256,5.5226
33,Lee,Toseland,lee.toseland@hanaites.com,member57.png,52.4,10.1833
34,Oleg,Smith,oleg.smith@hanaites.com,member57.png,52.4,8.4167
35,Xiaoming,Ghosh,xiaoming.ghosh@hanaites.com,member57.png,52.1333,10.5833
36,Kenji,Becker,kenji.becker@hanaites.com,member57.png,50.7,8.1
37,Xiaoming,Sokolova,xiaoming.sokolova@hanaites.com,member57.png,45.5425,-93.4769
38,Michael,Moore,michael.moore@hanaites.com,member57.png,50.9333,12.65
39,Elena,Ma,elena.ma@hanaites.com,member57.png,53.7167,-1.9333
40,Matthew,Ferrari,matthew.ferrari@hanaites.com,member57.png,51.4256,5.5226
41,Oleg,Patel,oleg.patel@hanaites.com,member57.png,54.4333,-0.7167
42,Svetlana,Lopez,svetlana.lopez@hanaites.com,member57.png,49.3167,-96.3
43,Jenny,Patel,jenny.patel@hanaites.com,member57.png,44.8556,3.0998
44,Michael,Toseland,michael.toseland@hanaites.com,member57.png,34.5,135.85
45,Oleg,Bertolini,oleg.bertolini@hanaites.com,member57.png,54.9806,-1.4508
46,Jose,Zhou,jose.zhou@hanaites.com,member57.png,46.8198,1.2112
47,Thomas,Bertolini,thomas.bertolini@hanaites.com,member57.png,27.2333,88.5
48,Takahiro,Leclerq,takahiro.leclerq@hanaites.com,member57.png,52.3833,-0.1833
49,Marina,Romanov,marina.romanov@hanaites.com,member57.png,49.7833,11.2333
50,Alessandra,Schmitz,alessandra.schmitz@hanaites.com,member57.png,44.8327,-89.3501
51,Gerd,Rossi,gerd.rossi@hanaites.com,member57.png,51.5167,6.1333
52,Marina,Bertolini,marina.bertolini@hanaites.com,member57.png,53.5667,12.6
53,Teresa,Liu,teresa.liu@hanaites.com,member57.png,45.4859,6.4824
54,Hiroshi,Lopez,hiroshi.lopez@hanaites.com,member57.png,41.1917,-77.2239
55,Marco,Ricci,marco.ricci@hanaites.com,member57.png,48.923,6.6418
56,Marco,Chevalier,marco.chevalier@hanaites.com,member57.png,15.5833,73.8167
57,Monique,Bowler,monique.bowler@hanaites.com,member57.png,49.5011,4.342
58,Bernard,Froome,bernard.froome@hanaites.com,member57.png,51.7833,6.3167
59,Thomas,Moore,thomas.moore@hanaites.com,member57.png,48.1081,3.5122
60,Marco,Romanov,marco.romanov@hanaites.com,member57.png,42.7578,140.8025
61,Hiroshi,Rossi,hiroshi.rossi@hanaites.com,member57.png,47.9427,-2.1165
62,Jamie,Honda,jamie.honda@hanaites.com,member57.png,35.0667,133.75
63,Francesca,Liu,francesca.liu@hanaites.com,member57.png,51.2461,-2.7394
64,Mikhail,Romanov,mikhail.romanov@hanaites.com,member57.png,45.2665,4.335
65,Carmen,Gomez,carmen.gomez@hanaites.com,member57.png,43.1533,-88.6012
66,Julie,Zhou,julie.zhou@hanaites.com,member57.png,45.9948,6.2458
67,Donna,Leclerq,donna.leclerq@hanaites.com,member57.png,56,-3.4
68,Stefan,Smith,stefan.smith@hanaites.com,member57.png,51.1667,0.5
69,Michael,Crutchlow,michael.crutchlow@hanaites.com,member57.png,45.121,4.5345
70,Monique,Ghosh,monique.ghosh@hanaites.com,member57.png,46.6546,7.7755
71,Yoko,Petrova,yoko.petrova@hanaites.com,member57.png,45.2676,3.4871
72,Takahiro,Bosch,takahiro.bosch@hanaites.com,member57.png,45.4902,1.9183
73,Gerd,Sokolova,gerd.sokolova@hanaites.com,member57.png,41.2476,-90.89
74,Marco,Semenov,marco.semenov@hanaites.com,member57.png,54.1167,-1.35
75,Jenny,Rossi,jenny.rossi@hanaites.com,member57.png,46.501,-79.7263
76,Oleg,Bertolini,oleg.bertolini@hanaites.com,member57.png,54.9806,-1.4508
77,Veena,Bauer,veena.bauer@hanaites.com,member57.png,45.867,0.9794
78,John,Rossi,john.rossi@hanaites.com,member57.png,40.403,-75.5975
79,John,Armstrong,john.armstrong@hanaites.com,member57.png,42.3723,-77.3658
80,Ravi,Wang,ravi.wang@hanaites.com,member57.png,22.35,114.0667
81,Takahiro,Dupont,takahiro.dupont@hanaites.com,member57.png,46.4788,-1.2189
82,Jose,Zhou,jose.zhou@hanaites.com,member57.png,46.8198,1.2112
83,Xiaoming,Smith,xiaoming.smith@hanaites.com,member57.png,48.9184,-0.4713
84,Tomoko,Lopez,tomoko.lopez@hanaites.com,member57.png,45.3233,-0.3752
85,Yoko,Ono,yoko.ono@hanaites.com,member57.png,43.7245,5.8108
86,Simon,Penn,simon.penn@hanaites.com,member57.png,47.9333,11.65
87,Thomas,Moore,thomas.moore@hanaites.com,member57.png,48.1081,3.5122
88,Xiaoming,Zhukov,xiaoming.zhukov@hanaites.com,member57.png,48.1148,1.4437
89,Marina,Suzuki,marina.suzuki@hanaites.com,member57.png,53.3167,-1.0167
90,Jose,Akiyama,jose.akiyama@hanaites.com,member57.png,45.4,-71.9
91,Veena,Sato,veena.sato@hanaites.com,member57.png,49.2409,-0.063
92,Veena,Semenov,veena.semenov@hanaites.com,member57.png,52.7519,5.0751
93,Veena,Romanov,veena.romanov@hanaites.com,member57.png,25.6968,-80.1611
94,Svetlana,Schneider,svetlana.schneider@hanaites.com,member57.png,45.5919,-91.6013
95,Carmen,Bertolini,carmen.bertolini@hanaites.com,member57.png,49.4083,3.5163
96,Teresa,Moore,teresa.moore@hanaites.com,member57.png,45.5944,-87.9317
97,Elena,Komarov,elena.komarov@hanaites.com,member57.png,48.2439,5.4167
98,Joseph,Prince,joseph.prince@hanaites.com,member57.png,51.0728,-3.4992
99,Katrin,Sokolova,katrin.sokolova@hanaites.com,member57.png,44.3957,-68.0372
100,Kenji,Stone,kenji.stone@hanaites.com,member57.png,50.15,-115.8333
101,Marina,Zhao,marina.zhao@hanaites.com,member57.png,53.4833,11.0333
102,John,Sato,john.sato@hanaites.com,member57.png,48.5498,7.4027
103,Jenny,Bosch,jenny.bosch@hanaites.com,member57.png,54.0833,13.45
104,Jenny,Bertolini,jenny.bertolini@hanaites.com,member57.png,38.8263,-102.86
105,Oleg,Becker,oleg.becker@hanaites.com,member57.png,44.2134,-122.8
106,Nathalie,Toseland,nathalie.toseland@hanaites.com,member57.png,48.9167,12.8667
107,Karan,Abe,karan.abe@hanaites.com,member57.png,52.0447,4.8034
108,Elena,Kawashima,elena.kawashima@hanaites.com,member57.png,43.112,2.2927
109,Antonio,Ma,antonio.ma@hanaites.com,member57.png,51.4167,8.05
110,Takahiro,Crutchlow,takahiro.crutchlow@hanaites.com,member57.png,49.7883,4.4948
111,Teresa,Bertolini,teresa.bertolini@hanaites.com,member57.png,49.85,9.9167
112,Karan,Petrova,karan.petrova@hanaites.com,member57.png,51.1167,13.7
113,John,Abe,john.abe@hanaites.com,member57.png,53.5333,-7.7833
114,Monique,Sato,monique.sato@hanaites.com,member57.png,44.0873,4.8838
115,Thomas,Petrova,thomas.petrova@hanaites.com,member57.png,48.6442,5.512
116,Xiaoming,Ghosh,xiaoming.ghosh@hanaites.com,member57.png,52.1333,10.5833
117,Takahiro,Bauer,takahiro.bauer@hanaites.com,member57.png,45.2863,1.9887
118,Matthew,Bertolini,matthew.bertolini@hanaites.com,member57.png,54.7167,9.3833
119,Denise,Perrin,denise.perrin@hanaites.com,member57.png,49.7833,12.2167
120,Giovanni,Petrova,giovanni.petrova@hanaites.com,member57.png,51.2333,1.1167
121,Ravi,Mayer,ravi.mayer@hanaites.com,member57.png,43.3633,1.8662
122,Nathalie,Singh,nathalie.singh@hanaites.com,member57.png,54.05,-2.2667
123,Xiaoli,Abe,xiaoli.abe@hanaites.com,member57.png,46.1775,4.8172
124,Jenny,Patel,jenny.patel@hanaites.com,member57.png,44.8556,3.0998
125,Takahiro,Leclerq,takahiro.leclerq@hanaites.com,member57.png,52.3833,-0.1833
126,John,Sato,john.sato@hanaites.com,member57.png,48.5498,7.4027
127,Denise,Gomez,denise.gomez@hanaites.com,member57.png,45.9481,-0.1819
128,Jamie,Honda,jamie.honda@hanaites.com,member57.png,35.0667,133.75
129,Xiaoming,Fernandez,xiaoming.fernandez@hanaites.com,member57.png,53.7167,10.9167
130,Denise,Miller,denise.miller@hanaites.com,member57.png,50.1833,9
131,Michael,Toseland,michael.toseland@hanaites.com,member57.png,34.5,135.85
132,Matthew,Ricci,matthew.ricci@hanaites.com,member57.png,31.3968,-97.1748
133,Marco,Ma,marco.ma@hanaites.com,member57.png,50.7,7.7833
134,Tomoko,Lopez,tomoko.lopez@hanaites.com,member57.png,45.3233,-0.3752
135,Takahiro,Leclerq,takahiro.leclerq@hanaites.com,member57.png,52.3833,-0.1833
136,Miguel,Schmitz,miguel.schmitz@hanaites.com,member57.png,43.1454,-72.5069
137,Donna,Wang,donna.wang@hanaites.com,member57.png,28.326,-81.3204
138,Francisco,Romanov,francisco.romanov@hanaites.com,member57.png,51.825,5.6266
139,Nathalie,Perrin,nathalie.perrin@hanaites.com,member57.png,44.3724,0.9589
140,Carmen,Akiyama,carmen.akiyama@hanaites.com,member57.png,44.9845,1.6372
141,Monique,Dubois,monique.dubois@hanaites.com,member57.png,50.5024,2.6389
142,Michel,Zhukov,michel.zhukov@hanaites.com,member57.png,28.7167,77.85
143,Ravi,Wang,ravi.wang@hanaites.com,member57.png,22.35,114.0667
144,Michaela,Ishida,michaela.ishida@hanaites.com,member57.png,49.0908,0.6945
145,Giovanni,Rodriguez,giovanni.rodriguez@hanaites.com,member57.png,53.0167,8.8
146,Monique,Dubois,monique.dubois@hanaites.com,member57.png,50.5024,2.6389
147,Jenny,Bertolini,jenny.bertolini@hanaites.com,member57.png,38.8263,-102.86
148,Michaela,Ishida,michaela.ishida@hanaites.com,member57.png,49.0908,0.6945
149,Isabelle,Smith,isabelle.smith@hanaites.com,member57.png,48.046,2.4024
150,John,Armstrong,john.armstrong@hanaites.com,member57.png,42.3723,-77.3658
151,Cristina,Wang,cristina.wang@hanaites.com,member57.png,31.7163,-93.3345
152,Francesca,Schneider,francesca.schneider@hanaites.com,member57.png,51.7746,5.2234
153,Xiaoming,Zhukov,xiaoming.zhukov@hanaites.com,member57.png,48.1148,1.4437
154,Giovanni,Stone,giovanni.stone@hanaites.com,member57.png,50.1056,1.5262
155,Elena,Kawashima,elena.kawashima@hanaites.com,member57.png,43.112,2.2927
156,Terry,Riley,terry.riley@hanaites.com,member57.png,45.4833,0.2833
157,John,Sato,john.sato@hanaites.com,member57.png,48.5498,7.4027
158,Isabelle,Adams,isabelle.adams@hanaites.com,member57.png,46.3057,5.9437
159,Svetlana,Ricci,svetlana.ricci@hanaites.com,member57.png,46.9412,-2.1775
160,Svetlana,Dubois,svetlana.dubois@hanaites.com,member57.png,40.1221,-75.2166
161,Tomoko,Esposito,tomoko.esposito@hanaites.com,member57.png,49.3392,5.6213
162,Aneesha,Ishida,aneesha.ishida@hanaites.com,member57.png,48.552,0.5455
163,Richard,Bosch,richard.bosch@hanaites.com,member57.png,54.1431,-112.1511
164,Giovanni,Petrova,giovanni.petrova@hanaites.com,member57.png,51.2333,1.1167
165,Jose,Komarov,jose.komarov@hanaites.com,member57.png,12.3833,77.0833
166,Michel,Akiyama,michel.akiyama@hanaites.com,member57.png,47.2569,1.3996
167,Aneesha,Ishida,aneesha.ishida@hanaites.com,member57.png,48.552,0.5455
168,Rahul,Patel,rahul.patel@hanaites.com,member57.png,57.2074,114.15
169,Xiaoming,Schneider,xiaoming.schneider@hanaites.com,member57.png,53.1731,-7.6961
170,Monique,Dubois,monique.dubois@hanaites.com,member57.png,50.5024,2.6389
171,Richard,Wang,richard.wang@hanaites.com,member57.png,45.0333,-62
172,Kenji,Adams,kenji.adams@hanaites.com,member57.png,44.8764,-91.0424
173,Aiko,Zhou,aiko.zhou@hanaites.com,member57.png,48.4833,6.8167
174,Karan,Suzuki,karan.suzuki@hanaites.com,member57.png,49.1434,-1.3697
175,Michaela,Liu,michaela.liu@hanaites.com,member57.png,44.8183,1.0167
176,Marina,Zhao,marina.zhao@hanaites.com,member57.png,53.4833,11.0333
177,Jenny,Suzuki,jenny.suzuki@hanaites.com,member57.png,40.2795,-76.4383
178,Svetlana,Sokolova,svetlana.sokolova@hanaites.com,member57.png,38.6045,-89.2912
179,Donna,Wang,donna.wang@hanaites.com,member57.png,28.326,-81.3204
180,Aiko,Zhou,aiko.zhou@hanaites.com,member57.png,48.4833,6.8167
181,Kathy,Patel,kathy.patel@hanaites.com,member57.png,48.9333,9.0667
182,Michel,Bosch,michel.bosch@hanaites.com,member57.png,52.8333,9.2
183,John,Sato,john.sato@hanaites.com,member57.png,48.5498,7.4027
184,Monique,Schneider,monique.schneider@hanaites.com,member57.png,49.2358,10.0333
185,Thomas,Bertolini,thomas.bertolini@hanaites.com,member57.png,27.2333,88.5
186,Katrin,Singh,katrin.singh@hanaites.com,member57.png,50.0333,7.3167
187,Oleg,Bertolini,oleg.bertolini@hanaites.com,member57.png,54.9806,-1.4508
188,Jenny,Becker,jenny.becker@hanaites.com,member57.png,47.8293,-1.3191
189,Oleg,Smith,oleg.smith@hanaites.com,member57.png,52.4,8.4167
190,Marina,Zhao,marina.zhao@hanaites.com,member57.png,53.4833,11.0333
191,Marco,Romanov,marco.romanov@hanaites.com,member57.png,42.7578,140.8025
192,Ravi,Semenov,ravi.semenov@hanaites.com,member57.png,47.2677,4.6335
193,Carmen,Akiyama,carmen.akiyama@hanaites.com,member57.png,44.9845,1.6372
194,John,Sato,john.sato@hanaites.com,member57.png,48.5498,7.4027
195,Carmen,Dupont,carmen.dupont@hanaites.com,member57.png,49.7228,5.1435
196,Roberta,Akiyama,roberta.akiyama@hanaites.com,member57.png,35.05,136.0167
197,Gerd,Sokolova,gerd.sokolova@hanaites.com,member57.png,41.2476,-90.89
198,Lee,Ruiz,lee.ruiz@hanaites.com,member57.png,43.25,0.9667
199,Laurent,Komarov,laurent.komarov@hanaites.com,member57.png,51.0833,6.2167
200,Hiroshi,Perrin,hiroshi.perrin@hanaites.com,member57.png,53.05,-1.1833
201,Gerd,Vega,gerd.vega@hanaites.com,member57.png,51.3,12.2
202,Kenji,Akiyama,kenji.akiyama@hanaites.com,member57.png,51.9333,-2.4
203,Sabine,Bauer,sabine.bauer@hanaites.com,member57.png,47.7167,2.2
204,Teresa,Moore,teresa.moore@hanaites.com,member57.png,45.5944,-87.9317
205,Aneesha,Bosch,aneesha.bosch@hanaites.com,member57.png,36.5653,-83.0602
206,Nandita,Dubois,nandita.dubois@hanaites.com,member57.png,50.45,11.2167
207,Tomoko,Esposito,tomoko.esposito@hanaites.com,member57.png,49.3392,5.6213
208,Aiko,Dupont,aiko.dupont@hanaites.com,member57.png,47.85,-65.7667
209,Roberta,Roberts,roberta.roberts@hanaites.com,member57.png,34.1667,131.7
210,Xiaoli,Moore,xiaoli.moore@hanaites.com,member57.png,45.4167,0.2333
211,Julie,Smith,julie.smith@hanaites.com,member57.png,35.6443,-82.3029
212,Teresa,Moore,teresa.moore@hanaites.com,member57.png,45.5944,-87.9317
213,Matthew,Bosch,matthew.bosch@hanaites.com,member57.png,51.45,-0.2
214,Thomas,Petrova,thomas.petrova@hanaites.com,member57.png,48.6442,5.512
215,Giovanni,Mishra,giovanni.mishra@hanaites.com,member57.png,52.7277,6.4896
216,Isabelle,Pandey,isabelle.pandey@hanaites.com,member57.png,49.0667,9.3167
217,Karan,Moore,karan.moore@hanaites.com,member57.png,29.4931,-81.127
218,Donna,Ricci,donna.ricci@hanaites.com,member57.png,44.4755,6.8001
219,Nandita,Semenov,nandita.semenov@hanaites.com,member57.png,51.4189,5.7132
220,John,Lopez,john.lopez@hanaites.com,member57.png,43.7533,-1.3278
221,Tomoko,Bowler,tomoko.bowler@hanaites.com,member57.png,50.9667,6.75
222,Michel,Dupont,michel.dupont@hanaites.com,member57.png,58.0167,-6.5333
223,Teresa,Bertolini,teresa.bertolini@hanaites.com,member57.png,49.85,9.9167
224,Oleg,Zhukov,oleg.zhukov@hanaites.com,member57.png,40.4543,-75.66
225,Lee,Ruiz,lee.ruiz@hanaites.com,member57.png,43.25,0.9667
226,Nandita,Liu,nandita.liu@hanaites.com,member57.png,53.6333,11.5833
227,Jenny,Wilson,jenny.wilson@hanaites.com,member57.png,54.1,-6.3667
228,Michel,Mishra,michel.mishra@hanaites.com,member57.png,19.2,73.1667
229,Svetlana,Dubois,svetlana.dubois@hanaites.com,member57.png,40.1221,-75.2166
230,Carmen,Roberts,carmen.roberts@hanaites.com,member57.png,54.3833,-3.4833
231,Antonio,Ma,antonio.ma@hanaites.com,member57.png,51.4167,8.05
232,Aiko,Romanov,aiko.romanov@hanaites.com,member57.png,34.2833,133.7833
233,Laurent,Volkova,laurent.volkova@hanaites.com,member57.png,49.2355,0.3836
234,Tomoko,Suzuki,tomoko.suzuki@hanaites.com,member57.png,31.7833,76.35
235,Rahul,Crutchlow,rahul.crutchlow@hanaites.com,member57.png,46.167,2.9062
236,Ravi,Suzuki,ravi.suzuki@hanaites.com,member57.png,50.9667,11.7
237,Svetlana,Wang,svetlana.wang@hanaites.com,member57.png,53.6667,-7.3
238,Lee,Rodriguez,lee.rodriguez@hanaites.com,member57.png,51.3,8.6167
239,Kenji,Chevalier,kenji.chevalier@hanaites.com,member57.png,49.3809,1.0311
240,Ravi,Romanov,ravi.romanov@hanaites.com,member57.png,50.5833,7.2833
241,Michel,Ferrari,michel.ferrari@hanaites.com,member57.png,53.7833,11.0833
242,Marco,Semenov,marco.semenov@hanaites.com,member57.png,54.1167,-1.35
243,Karan,Esposito,karan.esposito@hanaites.com,member57.png,53.3094,-7.0236
244,Richard,Becker,richard.becker@hanaites.com,member57.png,37.9132,-94.5239
245,Vladimir,Abe,vladimir.abe@hanaites.com,member57.png,41.2028,-83.5445
246,Kathy,Mishra,kathy.mishra@hanaites.com,member57.png,53.4142,-7.2961
247,Xiaoli,Abe,xiaoli.abe@hanaites.com,member57.png,46.1775,4.8172
248,Laurent,Kawashima,laurent.kawashima@hanaites.com,member57.png,43.834,2.2539
249,Denise,Zhou,denise.zhou@hanaites.com,member57.png,48.6897,-0.1227
250,Lee,Toseland,lee.toseland@hanaites.com,member57.png,52.4,10.1833
251,John,Sheene,john.sheene@hanaites.com,member57.png,48.3,13.1667
252,Karan,Ferrari,karan.ferrari@hanaites.com,member57.png,45.3515,1.637
253,Xiaoli,Sheene,xiaoli.sheene@hanaites.com,member57.png,51.1333,9.4833
254,Donna,Romanov,donna.romanov@hanaites.com,member57.png,50.6,6.6167
255,Teresa,Liu,teresa.liu@hanaites.com,member57.png,45.4859,6.4824
256,Cristina,Becker,cristina.becker@hanaites.com,member57.png,51.2833,0.1333
257,Aneesha,Ma,aneesha.ma@hanaites.com,member57.png,51.9444,-4.5
258,Michel,Zhukov,michel.zhukov@hanaites.com,member57.png,28.7167,77.85
259,Karan,Sheene,karan.sheene@hanaites.com,member57.png,52.3167,-2.2
260,Aiko,Zhou,aiko.zhou@hanaites.com,member57.png,48.4833,6.8167
261,Aneesha,Mayer,aneesha.mayer@hanaites.com,member57.png,48.2289,-3.1815
262,Xiaoming,Zhukov,xiaoming.zhukov@hanaites.com,member57.png,48.1148,1.4437
263,Julie,Agarwal,julie.agarwal@hanaites.com,member57.png,29.6865,-81.6376
264,Nandita,Semenov,nandita.semenov@hanaites.com,member57.png,51.4189,5.7132
265,Francesca,Sokolova,francesca.sokolova@hanaites.com,member57.png,47.8333,-4.2833
266,Carmen,Ricci,carmen.ricci@hanaites.com,member57.png,54.7833,-1.7
267,Antonio,Patel,antonio.patel@hanaites.com,member57.png,44.5987,0.7426
268,Karan,Ruiz,karan.ruiz@hanaites.com,member57.png,46.2833,4.6
269,Thomas,Abe,thomas.abe@hanaites.com,member57.png,40.9445,-74.07
270,Thomas,Stone,thomas.stone@hanaites.com,member57.png,51.8167,0.3333
271,Tomoko,Bowler,tomoko.bowler@hanaites.com,member57.png,50.9667,6.75
272,Hiroshi,Toseland,hiroshi.toseland@hanaites.com,member57.png,49.8372,8.3497
273,Roberta,Sato,roberta.sato@hanaites.com,member57.png,48,12.4667
274,Jenny,Rossi,jenny.rossi@hanaites.com,member57.png,46.501,-79.7263
275,Oleg,Vega,oleg.vega@hanaites.com,member57.png,36.8513,-85.5541
276,Michael,Sheene,michael.sheene@hanaites.com,member57.png,53.8333,11.5167
277,Roberta,Moore,roberta.moore@hanaites.com,member57.png,48.2167,-0.6634
278,Giovanni,Ghosh,giovanni.ghosh@hanaites.com,member57.png,38.322,-86.1021
279,Donna,Romanov,donna.romanov@hanaites.com,member57.png,50.6,6.6167
280,Kathy,Sokolova,kathy.sokolova@hanaites.com,member57.png,46.7833,8.4833
281,Cristina,Li,cristina.li@hanaites.com,member57.png,43.3667,-0.15
282,Matthew,Sokolova,matthew.sokolova@hanaites.com,member57.png,48.3289,1.6927
283,Karan,Gomez,karan.gomez@hanaites.com,member57.png,47.7167,9.1
284,Veena,Semenov,veena.semenov@hanaites.com,member57.png,52.7519,5.0751
285,Michaela,Komarov,michaela.komarov@hanaites.com,member57.png,52.6,10.3833
286,Carmen,Dupont,carmen.dupont@hanaites.com,member57.png,49.7228,5.1435
287,Richard,Mishra,richard.mishra@hanaites.com,member57.png,52.9333,9.1
288,Jenny,King,jenny.king@hanaites.com,member57.png,49.2667,11.2167
289,Takahiro,Zhukov,takahiro.zhukov@hanaites.com,member57.png,44.0667,144.25
290,Gerd,Sokolova,gerd.sokolova@hanaites.com,member57.png,41.2476,-90.89
291,Miguel,Schneider,miguel.schneider@hanaites.com,member57.png,49.9333,11
292,Elena,Akiyama,elena.akiyama@hanaites.com,member57.png,53.4,7.4333
293,Kenji,Becker,kenji.becker@hanaites.com,member57.png,50.7,8.1
294,Xiaoli,Abe,xiaoli.abe@hanaites.com,member57.png,46.1775,4.8172
295,Gerd,Vega,gerd.vega@hanaites.com,member57.png,51.3,12.2
296,John,Sheene,john.sheene@hanaites.com,member57.png,48.3,13.1667
297,Xiaoli,Bowler,xiaoli.bowler@hanaites.com,member57.png,48.0982,-0.8888
298,Francesca,Moore,francesca.moore@hanaites.com,member57.png,51.4,12.2167
299,Julie,Zhou,julie.zhou@hanaites.com,member57.png,45.9948,6.2458
300,Jenny,Bertolini,jenny.bertolini@hanaites.com,member57.png,38.8263,-102.86
301,Richard,Sato,richard.sato@hanaites.com,member57.png,44.6565,1.3956
302,Isabelle,Akiyama,isabelle.akiyama@hanaites.com,member57.png,42.9662,-106.807
303,Nandita,Volkova,nandita.volkova@hanaites.com,member57.png,48.65,10.4333
304,Alessandra,Wang,alessandra.wang@hanaites.com,member57.png,34.8362,-79.5651
305,Takahiro,Leclerq,takahiro.leclerq@hanaites.com,member57.png,52.3833,-0.1833
306,Xiaoming,Adams,xiaoming.adams@hanaites.com,member57.png,52.35,9.2833
307,Svetlana,Ferrari,svetlana.ferrari@hanaites.com,member57.png,54.3167,-3.2333
308,Teresa,Kawashima,teresa.kawashima@hanaites.com,member57.png,53.3667,-0.4333
309,Alain,Schneider,alain.schneider@hanaites.com,member57.png,51.6714,-4.1011
310,Cristina,Ferrari,cristina.ferrari@hanaites.com,member57.png,49.3667,-77.2331
311,John,Ishida,john.ishida@hanaites.com,member57.png,39.4833,140.2
312,Francesca,Schmitz,francesca.schmitz@hanaites.com,member57.png,43.6687,-75.2376
313,Rahul,Zhao,rahul.zhao@hanaites.com,member57.png,48.9713,12.175
314,Freddie,Spencer,freddie.spencer@hanaites.com,member57.png,53.5333,-8.5667
315,Jenny,King,jenny.king@hanaites.com,member57.png,49.2667,11.2167
316,Xiaoli,Rodriguez,xiaoli.rodriguez@hanaites.com,member57.png,50.2,6.75
317,Isabelle,Pandey,isabelle.pandey@hanaites.com,member57.png,49.0667,9.3167
318,Marina,Bertolini,marina.bertolini@hanaites.com,member57.png,53.5667,12.6
319,Alessandra,Wang,alessandra.wang@hanaites.com,member57.png,34.8362,-79.5651
320,Kathy,Fernandez,kathy.fernandez@hanaites.com,member57.png,49.6167,7.6333
321,Giovanni,Roberts,giovanni.roberts@hanaites.com,member57.png,46.7173,6.9948
322,Denise,Gomez,denise.gomez@hanaites.com,member57.png,45.9481,-0.1819
323,Francisco,Romanov,francisco.romanov@hanaites.com,member57.png,51.825,5.6266
324,Tomoko,Semenov,tomoko.semenov@hanaites.com,member57.png,37.974,-75.4787
325,Aneesha,Toseland,aneesha.toseland@hanaites.com,member57.png,35.7061,139.5594
326,Kathy,Komarov,kathy.komarov@hanaites.com,member57.png,52.9197,6.4183
327,Lee,Komarov,lee.komarov@hanaites.com,member57.png,54.0667,13.9
328,Jenny,Wilson,jenny.wilson@hanaites.com,member57.png,54.1,-6.3667
329,Matthew,Becker,matthew.becker@hanaites.com,member57.png,50.9167,8.1513
330,Nandita,Mishra,nandita.mishra@hanaites.com,member57.png,50.9,12.2
